year,market,n,largest_pct_mean,largest_pct_median,largest_pct_q1,largest_pct_q3,largest_pct_std,friendly_pct_mean,friendly_pct_median,friendly_pct_q1,friendly_pct_q3,friendly_pct_std,voting_friendly_pct_mean,voting_friendly_pct_median,voting_friendly_pct_q1,voting_friendly_pct_q3,voting_friendly_pct_std,pct_below50_largest,pct_below50_friendly
2015,KOSDAQ,1031,25.799543378995434,24.11,16.18,33.71,13.754712699199532,36.87613394216134,35.73,25.18,48.19,16.404616885278482,36.87613394216134,35.73,25.18,48.19,16.404616885278482,94.82496194824962,77.6255707762557
2016,KOSDAQ,1085,25.952563338301047,23.71,16.035,34.1,13.895080875042337,36.9681520119225,36.28,25.025,48.6,16.56610807879601,36.9681520119225,36.28,25.025,48.6,16.56610807879601,95.08196721311475,77.79433681073026
2017,KOSDAQ,1151,26.6697150997151,24.36,16.5525,34.957499999999996,14.247394673515226,38.029116809116815,37.355000000000004,25.5,49.6875,16.688598970418877,38.029116809116815,37.355000000000004,25.5,49.6875,16.688598970418877,93.44729344729345,75.35612535612536
2018,KOSDAQ,1220,26.340835579514827,24.195,16.53,34.36,14.336562766557197,37.74380053908356,36.275,25.505,48.725,17.33328014690583,37.74380053908356,36.275,25.505,48.725,17.33328014690583,94.20485175202157,77.62803234501348
2019,KOSDAQ,1296,26.30125,24.01,16.3,34.1475,14.139492313373523,37.44844387755102,36.615,25.1975,47.6325,17.009933327403758,37.44844387755102,36.615,25.1975,47.6325,17.009933327403758,94.13265306122449,78.8265306122449
2020,KOSDAQ,1376,26.419406060606065,23.87,16.29,34.25,14.266938970350335,37.455296969696974,36.14,25.38,47.81,17.024817484452953,37.455296969696974,36.14,25.38,47.81,17.024817484452953,93.57575757575758,79.15151515151516
2021,KOSDAQ,1445,26.875317919075147,24.48,16.69,34.79,14.172224234133486,37.62468208092486,36.09,25.7,47.67,16.880210517160965,37.62468208092486,36.09,25.7,47.67,16.880210517160965,93.52601156069365,79.07514450867052
2022,KOSDAQ,1517,27.271592920353985,25.035,17.1725,35.1675,13.938340571266519,38.060176991150435,35.855,26.415,47.72,16.861133489774687,38.060176991150435,35.855,26.415,47.72,16.861133489774687,93.36283185840708,78.6504424778761
2023,KOSDAQ,1618,26.989935965848453,24.89,17.2,34.51,13.757578160181469,37.395709711846315,35.57,26.0,47.76,16.400348897719365,37.395709711846315,35.57,26.0,47.76,16.400348897719365,94.13020277481323,79.40234791889007
2024,KOSDAQ,1735,26.894510385756675,24.48,16.375,34.585,14.491097056251606,37.3001978239367,35.83,25.36,47.72,17.180684577020916,37.3001978239367,35.83,25.36,47.72,17.180684577020916,93.3728981206726,78.53610286844707
2025,KOSDAQ,1805,26.429566473988437,23.93,15.754999999999999,34.5225,14.348954578557478,36.97815992292871,36.005,24.72,47.9375,17.3744569768818,36.97815992292871,36.005,24.72,47.9375,17.3744569768818,92.77456647398844,78.03468208092485
