year,market,n,largest_pct_mean,largest_pct_median,largest_pct_q1,largest_pct_q3,largest_pct_std,friendly_pct_mean,friendly_pct_median,friendly_pct_q1,friendly_pct_q3,friendly_pct_std,voting_friendly_pct_mean,voting_friendly_pct_median,voting_friendly_pct_q1,voting_friendly_pct_q3,voting_friendly_pct_std,pct_below50_largest,pct_below50_friendly
2015,전체,1726,26.16632142857143,23.67,15.9625,34.29,14.788990864801525,39.78284821428571,39.150000000000006,26.7725,50.9775,17.801762933809695,39.78284821428571,39.150000000000006,26.7725,50.9775,17.801762933809695,93.21428571428572,72.14285714285714
2016,전체,1796,26.279110132158593,23.42,15.934999999999999,34.69499999999999,14.838945237727764,39.73925991189427,39.0,26.555,51.0,18.03847573058287,39.73925991189427,39.0,26.555,51.0,18.03847573058287,93.30396475770925,72.77533039647577
2017,전체,1881,26.683279386712094,23.869999999999997,16.3225,34.9925,14.901750272659708,40.32678023850085,39.695,27.095,51.5925,17.60496323369528,40.32678023850085,39.695,27.095,51.5925,17.60496323369528,92.33390119250427,70.78364565587735
2018,전체,1968,26.95334693877551,24.24,16.59,34.81,15.588294782101263,40.26798367346939,39.09,27.17,51.37,18.33819806045044,40.26798367346939,39.09,27.17,51.37,18.33819806045044,92.3265306122449,71.6734693877551
2019,전체,2055,26.844804992199684,23.94,16.317500000000003,34.7525,15.329602186671341,40.02978159126365,38.675,27.005,50.99,18.357036358603036,40.02978159126365,38.675,27.005,50.99,18.357036358603036,92.12168486739469,72.69890795631825
2020,전체,2153,27.15664657121326,24.25,16.54,35.105000000000004,15.522234040426111,40.14509419743783,38.6,27.055,50.94,18.199046022833052,40.14509419743783,38.6,27.055,50.94,18.199046022833052,91.71062547098718,73.02185380557648
2021,전체,2239,27.397087872185914,24.31,16.6,35.51,15.664520986893073,40.03724763979666,38.56,27.28,50.67999999999999,18.255941364606795,40.03724763979666,38.56,27.28,50.67999999999999,18.255941364606795,91.50326797385621,73.56572258533043
2022,전체,2317,28.06234375,25.064999999999998,17.0075,36.1625,16.22810978420398,40.57803267045454,38.8,27.7175,51.0,18.821306422365076,40.57803267045454,38.8,27.7175,51.0,18.821306422365076,91.33522727272727,72.9403409090909
2023,전체,2434,27.962355371900824,25.134999999999998,17.1525,35.8075,15.977544954088193,40.14267906336088,38.5,27.52,50.75000000000001,18.702931159626065,40.14267906336088,38.5,27.52,50.75000000000001,18.702931159626065,91.73553719008265,73.55371900826447
2024,전체,2565,28.055811074918566,25.04,16.64,36.290000000000006,16.29997675119345,40.04624104234527,38.67,27.16,51.31,18.684565739614484,40.04624104234527,38.67,27.16,51.31,18.684565739614484,90.814332247557,72.89902280130292
2025,전체,2640,27.8518065342729,24.86,16.3,36.27,16.154675998178877,39.9832799487508,38.67,26.84,51.23,18.780097092377943,39.9832799487508,38.67,26.84,51.23,18.780097092377943,90.26265214606022,72.0691864189622
