chaebol_name,corp_name_pattern,note
삼성,삼성,공정위 상호출자제한기업집단 (대표총수: 이재용)
현대자동차,현대자동차|기아|현대모비스|현대글로비스|현대건설|현대제철|현대로템|현대오토에버,(대표총수: 정의선)
SK,SK|에스케이,(대표총수: 최태원)
LG,LG|엘지,(대표총수: 구광모)
롯데,롯데,(대표총수: 신동빈)
포스코,포스코|POSCO,(공정위 지정)
한화,한화|한화에어로스페이스|한화솔루션|한화시스템,(대표총수: 김승연)
GS,GS|지에스,(대표총수: 허창수)
HD현대,HD현대|현대중공업|현대미포조선|현대일렉트릭,(舊 현대중공업그룹, 대표총수: 정몽준)
신세계,신세계|이마트,(대표총수: 이명희)
KT,KT|케이티(?!엔지)|kt알파,(공정위 지정)
CJ,CJ|씨제이,(대표총수: 이재현)
한진,한진|대한항공|진에어,(대표총수: 조원태)
카카오,카카오,(대표총수: 김범수)
LS,LS|엘에스,(대표총수: 구자은)
DL,DL|디엘|대림,(대표총수: 이해욱)
네이버,네이버|NAVER,(공정위 지정)
부영,부영,(대표총수: 이중근)
미래에셋,미래에셋,(대표총수: 박현주)
현대백화점,현대백화점|현대그린푸드|한섬,(대표총수: 정지선)
효성,효성|HS효성,(대표총수: 조현준)
영풍,영풍|고려아연,(대표총수: 장형진)
하림,하림|하림지주|팬오션,(대표총수: 김홍국)
HMM,HMM,(공정위 지정)
호반건설,호반건설|호반산업,(대표총수: 김상열)
OCI,OCI,(대표총수: 이우현)
KCC,KCC|케이씨씨,(대표총수: 정몽진)
셀트리온,셀트리온,(대표총수: 서정진)
세아,세아|세아베스틸|세아제강,(대표총수: 이순형)
넷마블,넷마블,(대표총수: 방준혁)
중흥건설,중흥건설|중흥토건,(대표총수: 정창선)
HDC,HDC|HDC현대산업개발,(대표총수: 정몽규)
태영,태영|SBS,(대표총수: 윤석민)
교보생명보험,교보생명|교보증권,(대표총수: 신창재)
이랜드,이랜드|뉴코아,(대표총수: 박성수)
DB,DB|디비|DB하이텍,(대표총수: 김준기)
두산,두산,(대표총수: 박정원)
코오롱,코오롱,(대표총수: 이웅열)
태광,태광|티브로드,(대표총수: 이호진)
크래프톤,크래프톤,(공정위 지정)
다우키움,다우키움|키움증권|다우데이타,(대표총수: 김익래)
오뚜기,오뚜기,(대표총수: 함영준)
삼천리,삼천리,(대표총수: 이만득)
금호석유화학,금호석유화학|금호피앤비화학,(대표총수: 박찬구)
장금상선,장금상선,(공정위 지정)
한국지엠,한국지엠,(공정위 지정)
대방건설,대방건설,(대표총수: 구찬우)
중앙,JTBC|중앙홀딩스|중앙일보,(대표총수: 홍석현)
유진,유진|유진증권,(대표총수: 유경선)
글로벌세아,글로벌세아,(대표총수: 김웅기)
아이에스지주,아이에스지주|ISG,(대표총수: 권혁운)
